id;first_name;last_name;dob;email;telephone;s_sn;is_primary_policy_holder;gender;marital_status;is_active;timestamp
1;Chelsey;Wyman;2020-04-04;Aubrey45@yahoo.com;721-664-2911 x28337;mission-critical auxiliary;false;Principal sky blue;Single;true;2020-04-04
2;Reta;Kertzmann;2020-04-05;Devon41@gmail.com;679.191.7492 x8940;Uzbekistan Sum;false;Handcrafted;Married;true;2020-04-04
3;Edward;Schultz;2020-04-05;Elmore_Schowalter@gmail.com;077-242-0700 x5717;Personal Loan Account;true;multi-tasking calculate initiatives;Single;true;2020-04-05
4;Litzy;Smith;2020-04-04;Alan_Cummings@hotmail.com;(585) 574-1668 x301;Re-engineered;true;hacking;Single;true;2020-04-05
5;Rylan;Flatley;2020-04-04;Nathaniel.Koepp@gmail.com;(238) 865-4069 x94139;Auto Loan Account;false;Cotton;Married;false;2020-04-05
6;Tianna;Koepp;2020-04-04;Danielle.Wolff@hotmail.com;268.061.8524;compressing;true;intuitive Electronics real-time;Married;false;2020-04-04
7;Lillie;Beahan;2020-04-04;Willa_Kunze87@gmail.com;069-252-8954 x66499;New Leu Licensed haptic;false;withdrawal Cambridgeshire Brand;Married;true;2020-04-05
8;Christine;Jakubowski;2020-04-04;Alexane.Schultz@yahoo.com;031.993.5784 x7778;salmon Strategist Gorgeous;false;Unbranded Soft Bacon Games orange;Married;true;2020-04-05
9;Damaris;Stamm;2020-04-05;Fredy_Ondricka61@gmail.com;(226) 057-8954 x116;online;false;Refined Steel Soap;Married;false;2020-04-05
10;Kendrick;Sanford;2020-04-05;Elijah_Lowe45@yahoo.com;654.573.0592 x40823;parsing Philippine Peso;true;uniform Buckinghamshire New Mexico;Married;true;2020-04-04
